state_code,default_rate_90,z_score,is_outlier
AC,97.44863936481788,4.652079542259007,True
AC,54.1002832964952,2.383479281927553,True
AC,65.45659898481874,2.9778026441868093,True
AC,75.97128992982219,3.528080273574719,True
AC,73.69965417263423,3.4091961003891806,True
AC,67.76196771447577,3.098452204507317,True
AC,81.74265593584349,3.8301199265454535,True
AC,100.0,4.785602884921666,True
AC,100.0,4.785602884921666,True
AC,100.0,4.785602884921666,True
AC,100.0,4.785602884921666,True
AC,100.0,4.785602884921666,True
AC,79.01684984144715,3.687467125465427,True
AC,100.0,4.785602884921666,True
AC,100.0,4.785602884921666,True
AC,100.0,4.785602884921666,True
AC,100.0,4.785602884921666,True
AC,100.0,4.785602884921666,True
AL,83.29341642316139,4.728244241493215,True
AL,63.934472910514316,3.487172555423074,True
AL,100.0,5.799277267372617,True
AL,100.0,5.799277267372617,True
AL,100.0,5.799277267372617,True
AL,60.70892071328004,3.280387433016287,True
AL,51.96483234434708,2.7198175605907404,True
AL,100.0,5.799277267372617,True
AL,51.41995150832419,2.6848860997169353,True
AL,60.064951187295776,3.2391035507182186,True
AL,44.726703241697514,2.2557923887857765,True
AL,45.68463638323291,2.3172039889762064,True
AL,49.89348869184158,2.5870269484601627,True
AL,100.0,5.799277267372617,True
AL,70.56030976899575,3.9119446260791566,True
AL,42.51824668224262,2.1142116819633836,True
AL,54.09944785713372,2.856664433036795,True
AL,78.93657869649708,4.448934167581752,True
AM,100.0,4.78372067491684,True
AM,100.0,4.78372067491684,True
AM,91.6098883548261,4.336560489364502,True
AM,100.0,4.78372067491684,True
AM,100.0,4.78372067491684,True
AM,59.29532659482019,2.6143205426579,True
AM,100.0,4.78372067491684,True
AM,100.0,4.78372067491684,True
AM,66.24469471370857,2.984694724663106,True
AM,53.0870069857359,2.2834413522763035,True
AM,100.0,4.78372067491684,True
AM,65.3947378505902,2.939395343117676,True
AM,100.0,4.78372067491684,True
AM,70.19345117186057,3.1951480231652676,True
AM,95.9728347311957,4.569088493009667,True
AM,97.2719363866309,4.638325537981517,True
AM,91.47743790739786,4.329501397763192,True
AM,55.33514690729697,2.403258430640346,True
AM,75.71856350128701,3.4896149336079865,True
AM,48.91502598161744,2.061091057212527,True
AM,53.09005289802927,2.2836036875066177,True
AP,100.0,3.9203733527521902,True
AP,72.90587370826856,2.705576620996739,True
AP,61.9839824416652,2.215880896085792,True
AP,68.77524757180677,2.5203751837313946,True
AP,100.0,3.9203733527521902,True
AP,100.0,3.9203733527521902,True
AP,61.56977269459279,2.1973093192950555,True
AP,100.0,3.9203733527521902,True
